Bairro ou grupo de bairros,Índice de Desenvolvimento Humano Municipal (IDH)
Gávea,0.970
Leblon,0.967
Jardim Guanabara,0.963
Ipanema,0.962
Lagoa,0.959
Flamengo,0.959
Humaitá,0.959
"Joá, Barra da Tijuca",0.959
Laranjeiras,0.957
Jardim Botânico,0.957
Copacabana,0.956
Leme,0.955
"Botafogo, Urca",0.952
Maracanã,0.944
Glória,0.940
Grajaú,0.938
Méier,0.931
"Tijuca, Alto da Boa Vista",0.926
Todos os Santos,0.922
Anil,0.911
Vila da Penha,0.909
Andaraí,0.909
Riachuelo,0.905
"Campinho, Vila Valqueire",0.904
"Moneró, Portuguesa",0.904
Catete,0.901
Vila Isabel,0.901
Cachambi,0.900
Pechincha,0.900
Freguesia (Jacarepaguá),0.898
"Recreio dos Bandeirantes, Grumari",0.894
Centro,0.894
Higienópolis,0.882
"Santa Teresa, Cosme Velho",0.878
"Água Santa, Encantado",0.877
Taquara,0.876
Vila Cosmos,0.876
"Vidigal, São Conrado",0.873
"Cidade Nova, Praça da Bandeira",0.867
Bonsucesso,0.861
"Cocotá, Bancários",0.861
"Maria da Graça, Del Castilho",0.860
"Ribeira, Cacuia",0.859
Lins de Vasconcelos,0.859
Engenho Novo,0.858
"Zumbi, Pitangueiras, Praia da Bandeira",0.858
Ramos,0.857
Engenho de Dentro,0.857
Abolição,0.857
"Deodoro, Vila Militar, Campo dos Afonsos, Jardim Sulacap",0.856
Oswaldo Cruz,0.855
Olaria,0.853
Bento Ribeiro,0.851
Piedade,0.850
Quintino Bocaiúva,0.850
Rio Comprido,0.849
Praça Seca,0.845
Jardim América,0.839
"Jacaré, Rocha, Sampaio",0.839
Freguesia,0.839
Jardim Carioca,0.836
Engenho da Rainha,0.835
Brás de Pina,0.835
"São Cristóvão, Vasco da Gama",0.833
Cascadura,0.833
Parque Anchieta,0.833
Madureira,0.831
Pilares,0.831
Tanque,0.831
Estácio,0.829
Curicica,0.828
Penha Circular,0.826
Benfica,0.825
Paquetá,0.822
Itanhangá,0.822
Tauá,0.817
Rocha Miranda,0.815
Marechal Hermes,0.814
Turiaçu,0.812
Guadalupe,0.810
Inhaúma,0.810
Campo Grande,0.810
"Cavalcanti, Engenheiro Leal, Vaz Lobo",0.807
Ricardo de Albuquerque,0.807
Coelho Neto,0.806
Padre Miguel,0.804
Penha,0.804
Honório Gurgel,0.804
Realengo,0.803
Senador Vasconcelos,0.802
Tomás Coelho,0.802
Magalhães Bastos,0.802
Catumbi,0.802
"Mangueira, São Francisco Xavier",0.800
"Vista Alegre, Irajá",0.798
Bangu,0.794
"Saúde, Gamboa, Santo Cristo",0.792
Cordovil,0.791
Pavuna,0.790
Anchieta,0.788
Santíssimo,0.780
"Galeão, Cidade Universitária",0.778
Vicente de Carvalho,0.773
Jacarepaguá,0.769
Senador Camará,0.768
Gardênia Azul,0.768
Vigário Geral,0.763
Colégio,0.762
Sepetiba,0.761
Cosmos,0.759
Caju,0.753
Paciência,0.751
Cidade de Deus,0.751
Barros Filho,0.750
Inhoaíba,0.747
"Camorim, Vargem Pequena, Vargem Grande",0.746
Parada de Lucas,0.745
"Guaratiba, Barra de Guaratiba, Pedra de Guaratiba",0.744
Santa Cruz,0.742
Rocinha,0.732
Jacarezinho,0.731
Manguinhos,0.726
Maré,0.722
"Acari, Parque Colúmbia",0.720
Costa Barros,0.713
Complexo do Alemão,0.711
